date,name,code,Close,dollar,WTI,NASDAQ,DOW,interest_rate
2020-02-14,키이스트,054780,19787,1181.5,52.05,9731.18,29398.08,1.24
2020-02-18,키이스트,054780,19136,1182.2,52.05,9732.74,29232.19,1.23
2020-02-19,키이스트,054780,19261,1188.1,53.29,9817.18,29348.03,1.24
2020-02-20,키이스트,054780,19286,1190.8,53.78,9750.97,29219.98,1.23
2020-02-21,키이스트,054780,17858,1197.0,53.38,9576.59,28992.41,1.23
2020-02-24,키이스트,054780,19161,1205.6,51.43,9221.28,27960.8,1.24
2020-02-25,키이스트,054780,18009,1217.7,49.9,8965.61,27081.36,1.25
2020-02-26,키이스트,054780,16506,1212.7,48.73,8980.77,26957.59,1.25
2020-02-27,키이스트,054780,15654,1216.8,47.09,8566.48,25766.64,1.23
2020-02-28,키이스트,054780,14978,1215.9,44.76,8567.37,25409.36,1.26
2020-03-02,키이스트,054780,15178,1215.3,46.75,8952.17,26703.32,1.26
2020-03-03,키이스트,054780,14101,1200.3,47.18,8684.09,25917.41,1.26
2020-03-04,키이스트,054780,14427,1191.4,46.78,9018.09,27090.86,1.25
2020-03-05,키이스트,054780,14277,1186.4,45.9,8738.59,26121.28,1.25
2020-03-06,키이스트,054780,13876,1185.0,41.28,8575.62,25864.78,1.24
2020-03-09,키이스트,054780,12874,1191.4,31.13,7950.68,23851.02,1.26
2020-03-10,키이스트,054780,13425,1201.4,34.36,8344.25,25018.16,1.25
2020-03-11,키이스트,054780,12323,1196.7,32.98,7952.05,23553.22,1.24
2020-03-12,키이스트,054780,11497,1192.8,31.5,7201.8,21200.62,1.25
2020-03-13,키이스트,054780,10495,1202.0,31.73,7874.88,23185.62,1.25
2020-03-16,키이스트,054780,9818,1222.2,28.7,6904.59,20188.52,1.27
2020-03-17,키이스트,054780,10044,1219.6,26.95,7334.78,21237.38,0.76
2020-03-18,키이스트,054780,9017,1241.2,20.37,6989.84,19898.92,0.73
2020-03-19,키이스트,054780,7163,1237.8,25.22,7150.58,20087.19,0.72
2020-03-20,키이스트,054780,7564,1280.1,22.43,6879.52,19173.98,0.73
2020-03-23,키이스트,054780,6813,1254.1,23.36,6860.67,18591.93,0.73
2020-03-24,키이스트,054780,7564,1274.6,24.01,7417.86,20704.91,0.72
2020-03-25,키이스트,054780,8466,1256.0,24.49,7384.29,21200.55,0.73
2020-03-26,키이스트,054780,8741,1230.7,22.6,7797.54,22552.17,0.73
2020-03-27,키이스트,054780,8867,1227.9,21.51,7502.38,21636.78,0.75
2020-03-30,키이스트,054780,9067,1212.4,20.09,7774.15,22327.48,0.76
2020-03-31,키이스트,054780,10319,1222.6,20.48,7700.1,21917.16,0.8
2020-04-01,키이스트,054780,10920,1220.0,20.31,7360.58,20943.51,0.76
2020-04-02,키이스트,054780,11121,1222.2,25.32,7487.31,21413.44,0.74
2020-04-03,키이스트,054780,10945,1237.6,28.34,7373.08,21052.53,0.73
2020-04-06,키이스트,054780,11346,1229.8,26.08,7913.24,22679.99,0.75
2020-04-07,키이스트,054780,11547,1233.4,23.63,7887.26,22653.86,0.74
2020-04-08,키이스트,054780,11522,1222.4,25.09,8090.9,23433.57,0.73
2020-04-09,키이스트,054780,11697,1219.7,22.76,8153.58,23719.37,0.73
2020-04-13,키이스트,054780,13976,1212.3,22.41,8192.42,23390.77,0.75
2020-04-14,키이스트,054780,14152,1218.7,20.11,8515.74,23949.76,0.74
2020-04-16,키이스트,054780,14652,1216.7,19.87,8532.36,23537.68,0.73
2020-04-17,키이스트,054780,14327,1227.5,18.27,8650.14,24242.49,0.74
2020-04-20,키이스트,054780,14101,1219.3,-37.63,8560.73,23650.44,0.75
2020-04-21,키이스트,054780,13425,1218.7,10.01,8263.23,23018.88,0.75
2020-04-22,키이스트,054780,13350,1231.3,13.78,8495.38,23475.82,0.74
2020-04-23,키이스트,054780,13350,1235.2,16.5,8494.75,23515.26,0.74
2020-04-24,키이스트,054780,13350,1232.0,16.94,8634.52,23775.27,0.74
2020-04-27,키이스트,054780,13350,1235.8,12.78,8730.16,24133.78,0.73
2020-04-28,키이스트,054780,13350,1230.3,12.34,8607.73,24101.55,0.73
2020-04-29,키이스트,054780,13350,1225.2,15.06,8914.71,24633.86,0.76
2020-05-04,키이스트,054780,13350,1218.5,20.39,8710.71,23749.76,0.71
2020-05-06,키이스트,054780,13350,1227.8,23.99,8854.39,23664.64,0.72
2020-05-07,키이스트,054780,13350,1223.3,23.99,8979.66,23875.89,0.71
2020-05-08,키이스트,054780,13350,1226.5,24.74,9121.32,24331.32,0.72
2020-05-11,키이스트,054780,13350,1217.7,24.14,9192.34,24221.99,0.73
2020-05-12,키이스트,054780,13350,1217.8,25.78,9002.55,23764.78,0.73
