﻿일,유종,WTI
01월 03일,,52.33
01월 04일,,53.26
01월 05일,,53.76
01월 06일,,53.99
01월 09일,,51.96
01월 10일,,50.82
01월 11일,,52.25
01월 12일,,53.01
01월 13일,,52.37
01월 17일,,52.48
01월 18일,,51.08
01월 19일,,51.37
01월 20일,,52.42
01월 23일,,52.75
01월 24일,,53.18
01월 25일,,52.75
01월 26일,,53.78
01월 27일,,53.17
01월 30일,,52.63
01월 31일,,52.81
02월 01일,,53.88
02월 02일,,53.54
02월 03일,,53.83
02월 06일,,53.01
02월 07일,,52.17
02월 08일,,52.34
02월 09일,,53.00
02월 10일,,53.86
02월 13일,,52.93
02월 14일,,53.20
02월 15일,,53.11
02월 16일,,53.36
02월 17일,,53.40
02월 21일,,54.06
02월 22일,,53.59
02월 23일,,54.45
02월 24일,,53.99
02월 27일,,54.05
02월 28일,,54.01
03월 01일,,53.83
03월 02일,,52.61
03월 03일,,53.33
03월 06일,,53.20
03월 07일,,53.14
03월 08일,,50.28
03월 09일,,49.28
03월 10일,,48.49
03월 13일,,48.40
03월 14일,,47.72
03월 15일,,48.86
03월 16일,,48.75
03월 17일,,48.78
03월 20일,,48.22
03월 21일,,47.34
03월 22일,,48.04
03월 23일,,47.70
03월 24일,,47.97
03월 27일,,47.73
03월 28일,,48.37
03월 29일,,49.51
03월 30일,,50.35
03월 31일,,50.60
04월 03일,,50.24
04월 04일,,51.03
04월 05일,,51.15
04월 06일,,51.70
04월 07일,,52.24
04월 10일,,53.08
04월 11일,,53.40
04월 12일,,53.11
04월 13일,,53.18
04월 17일,,52.65
04월 18일,,52.41
04월 19일,,50.44
04월 20일,,50.27
04월 21일,,49.62
04월 24일,,49.23
04월 25일,,49.56
04월 26일,,49.62
04월 27일,,48.97
04월 28일,,49.33
05월 01일,,48.84
05월 02일,,47.66
05월 03일,,47.82
05월 04일,,45.52
05월 05일,,46.22
05월 08일,,46.43
05월 09일,,45.88
05월 10일,,47.33
05월 11일,,47.83
05월 12일,,47.84
05월 15일,,48.85
05월 16일,,48.66
05월 17일,,49.07
05월 18일,,49.35
05월 19일,,50.33
05월 22일,,50.73
05월 23일,,51.47
05월 24일,,51.36
05월 25일,,48.90
05월 26일,,49.80
05월 30일,,49.66
05월 31일,,48.32
06월 01일,,48.36
06월 02일,,47.66
06월 05일,,47.40
06월 06일,,48.19
06월 07일,,45.72
06월 08일,,45.64
06월 09일,,45.83
06월 12일,,46.08
06월 13일,,46.46
06월 14일,,44.73
06월 15일,,44.46
06월 16일,,44.74
06월 19일,,44.20
06월 20일,,43.23
06월 21일,,42.53
06월 22일,,42.74
06월 23일,,43.01
06월 26일,,43.38
06월 27일,,44.24
06월 28일,,44.74
06월 29일,,44.93
06월 30일,,46.04
07월 03일,,47.07
07월 05일,,45.13
07월 06일,,45.52
07월 07일,,44.23
07월 10일,,44.40
07월 11일,,45.04
07월 12일,,45.49
07월 13일,,46.08
07월 14일,,46.54
07월 17일,,46.02
07월 18일,,46.40
07월 19일,,47.12
07월 20일,,46.79
07월 21일,,45.77
07월 24일,,46.34
07월 25일,,47.89
07월 26일,,48.75
07월 27일,,49.04
07월 28일,,49.71
07월 31일,,50.17
08월 01일,,49.16
08월 02일,,49.59
08월 03일,,49.03
08월 04일,,49.58
08월 07일,,49.39
08월 08일,,49.17
08월 09일,,49.56
08월 10일,,48.59
08월 11일,,48.82
08월 14일,,47.59
08월 15일,,47.55
08월 16일,,46.78
08월 17일,,47.09
08월 18일,,48.51
08월 21일,,47.37
08월 22일,,47.64
08월 23일,,48.41
08월 24일,,47.43
08월 25일,,47.87
08월 28일,,46.57
08월 29일,,46.44
08월 30일,,45.96
08월 31일,,47.23
09월 01일,,47.29
09월 05일,,48.66
09월 06일,,49.16
09월 07일,,49.09
09월 08일,,47.48
09월 11일,,48.07
09월 12일,,48.23
09월 13일,,49.30
09월 14일,,49.89
09월 15일,,49.89
09월 18일,,49.91
09월 19일,,49.48
09월 20일,,50.41
09월 21일,,50.55
09월 22일,,50.66
09월 25일,,52.22
09월 26일,,51.88
09월 27일,,52.14
09월 28일,,51.56
09월 29일,,51.67
10월 02일,,50.58
10월 03일,,50.42
10월 04일,,49.98
10월 05일,,50.79
10월 06일,,49.29
10월 09일,,49.58
10월 10일,,50.92
10월 11일,,51.30
10월 12일,,50.60
10월 13일,,51.45
10월 16일,,51.87
10월 17일,,51.88
10월 18일,,52.04
10월 19일,,51.29
10월 20일,,51.47
10월 23일,,51.90
10월 24일,,52.47
10월 25일,,52.18
10월 26일,,52.64
10월 27일,,53.90
10월 30일,,54.15
10월 31일,,54.38
11월 01일,,54.30
11월 02일,,54.54
11월 03일,,55.64
11월 06일,,57.35
11월 07일,,57.20
11월 08일,,56.81
11월 09일,,57.17
11월 10일,,56.74
11월 13일,,56.76
11월 14일,,55.70
11월 15일,,55.33
11월 16일,,55.14
11월 17일,,56.55
11월 20일,,56.09
11월 21일,,56.83
11월 22일,,58.02
11월 24일,,58.95
11월 27일,,58.11
11월 28일,,57.99
11월 29일,,57.30
11월 30일,,57.40
12월 01일,,58.36
12월 04일,,57.47
12월 05일,,57.62
12월 06일,,55.96
12월 07일,,56.69
12월 08일,,57.36
12월 11일,,57.99
12월 12일,,57.14
12월 13일,,56.60
12월 14일,,57.04
12월 15일,,57.30
12월 18일,,57.16
12월 19일,,57.46
12월 20일,,58.09
12월 21일,,58.36
12월 22일,,58.47
12월 26일,,59.97
12월 27일,,59.64
12월 28일,,59.84
12월 29일,,60.42
전일비,,0.58
전주비,,1.95
전월동일비,,3.12
전년동일비,,6.65
평균,,50.85
